EmployeeID,Age,BusinessTravel,MonthlyIncome,JobSatisfaction,Bonus,Department,DistanceFromHome,Education,EducationField,EnvSatisfaction,Gender,JobRole,MaritalStatus,PerformanceRating,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,OverTime,Attrition
100,35,Travel_Rarely,4312,1,12936,Sales,1,4,Marketing,3,Male,Sales Executive,Single,3,2,15,2,No,No
101,45,Travel_Rarely,13245,1,39735,Research & Development,6,4,Other,4,Male,Research Director,Married,3,3,0,0,Yes,No
102,37,Travel_Rarely,13664,3,40992,Research & Development,7,4,Medical,1,Male,Research Director,Single,3,3,5,0,No,No
103,46,Travel_Rarely,5021,2,20084,Human Resources,5,2,Medical,2,Male,Human Resources,Divorced,4,2,4,0,Yes,No
104,30,Travel_Rarely,5126,4,15378,Research & Development,1,1,Life Sciences,4,Male,Laboratory Technician,Married,3,1,10,3,Yes,No
105,35,Travel_Rarely,2859,3,8577,Research & Development,1,3,Medical,2,Male,Research Scientist,Single,3,3,6,0,No,No
106,55,Travel_Rarely,10239,4,30717,Sales,1,2,Life Sciences,1,Male,Sales Executive,Married,3,4,1,1,No,No
107,38,Non-Travel,5329,4,15987,Research & Development,6,3,Medical,2,Female,Research Scientist,Divorced,3,3,13,1,Yes,No
110,34,Travel_Rarely,4325,2,12975,Research & Development,1,2,Medical,1,Male,Manufacturing Director,Married,3,2,5,1,No,No
112,56,Travel_Rarely,7260,4,21780,Research & Development,7,3,Life Sciences,4,Male,Manufacturing Director,Single,3,3,6,0,No,No
113,23,Travel_Rarely,2322,1,6966,Sales,2,1,Technical Degree,3,Male,Sales Representative,Divorced,3,3,0,0,No,No
116,51,Travel_Rarely,2075,4,8300,Research & Development,9,4,Life Sciences,4,Male,Laboratory Technician,Married,4,4,4,0,No,No
117,30,Travel_Rarely,4152,4,12456,Research & Development,2,3,Life Sciences,3,Male,Healthcare Representative,Married,3,3,11,10,No,No
118,46,Travel_Rarely,9619,4,28857,Sales,9,2,Medical,3,Male,Sales Executive,Single,3,3,9,4,No,Yes
119,40,Travel_Frequently,13503,2,54012,Research & Development,1,4,Life Sciences,3,Male,Healthcare Representative,Married,4,3,22,11,No,No
120,51,Travel_Rarely,5441,4,21764,Sales,21,4,Marketing,3,Male,Sales Executive,Single,4,2,10,1,Yes,No
121,30,Travel_Rarely,5209,2,15627,Sales,4,2,Medical,3,Female,Sales Executive,Divorced,3,4,11,2,Yes,No
124,46,Travel_Frequently,10673,1,32019,Research & Development,1,3,Medical,3,Male,Healthcare Representative,Married,3,5,10,9,Yes,No
125,32,Travel_Rarely,5010,3,15030,Sales,6,4,Medical,2,Male,Sales Executive,Single,3,0,11,5,No,No
126,54,Travel_Rarely,13549,3,40647,Research & Development,2,4,Technical Degree,1,Female,Research Director,Married,3,5,4,0,No,No
128,24,Travel_Rarely,4999,3,19996,Sales,3,2,Other,1,Female,Sales Executive,Married,4,2,3,0,No,No
129,28,Non-Travel,4221,3,12663,Sales,4,3,Medical,2,Male,Sales Executive,Married,3,3,5,0,No,No
131,58,Travel_Rarely,13872,3,41616,Sales,10,4,Medical,4,Male,Sales Executive,Single,3,1,37,1,No,No
132,44,Non-Travel,2042,2,6126,Research & Development,23,3,Medical,2,Male,Laboratory Technician,Married,3,3,3,1,No,No
133,37,Travel_Rarely,2073,1,8292,Human Resources,6,4,Human Resources,3,Male,Human Resources,Divorced,4,3,3,0,Yes,Yes
134,32,Travel_Rarely,2956,1,8868,Research & Development,1,1,Life Sciences,4,Male,Research Scientist,Single,3,2,1,0,No,No
137,20,Travel_Frequently,2926,4,8778,Research & Development,6,3,Life Sciences,4,Female,Laboratory Technician,Single,3,5,1,1,Yes,Yes
138,34,Travel_Rarely,4809,3,14427,Research & Development,6,4,Other,1,Female,Research Scientist,Single,3,3,16,2,No,No
139,37,Non-Travel,5163,4,15489,Research & Development,2,2,Life Sciences,3,Male,Healthcare Representative,Divorced,3,2,1,0,No,No
140,59,Non-Travel,18844,4,75376,Human Resources,2,4,Human Resources,3,Female,Manager,Married,4,3,3,2,No,No
141,50,Travel_Frequently,18172,2,54516,Research & Development,1,3,Life Sciences,1,Female,Research Director,Married,3,1,8,0,Yes,No
142,25,Travel_Rarely,5744,3,17232,Sales,5,3,Marketing,3,Male,Sales Executive,Single,3,1,6,0,Yes,Yes
143,25,Travel_Rarely,2889,4,8667,Research & Development,7,1,Medical,4,Male,Research Scientist,Married,3,2,2,2,No,No
144,22,Travel_Rarely,2871,4,8613,Research & Development,15,3,Medical,2,Female,Laboratory Technician,Single,3,5,0,0,No,No
145,51,Travel_Frequently,7484,1,29936,Research & Development,1,4,Medical,1,Female,Healthcare Representative,Single,4,1,13,12,No,No
147,34,Travel_Frequently,6074,3,24296,Research & Development,7,3,Life Sciences,1,Male,Laboratory Technician,Single,4,3,9,0,Yes,Yes
148,54,Non-Travel,17328,4,51984,Human Resources,26,3,Human Resources,4,Female,Manager,Single,3,3,5,4,Yes,No
150,24,Travel_Rarely,2774,3,8322,Research & Development,18,1,Life Sciences,2,Male,Laboratory Technician,Married,3,2,5,1,No,No
151,34,Travel_Rarely,4505,2,13515,Research & Development,6,4,Life Sciences,3,Female,Research Scientist,Divorced,3,3,1,0,No,No
152,37,Travel_Rarely,7428,4,22284,Sales,3,3,Life Sciences,3,Male,Sales Executive,Single,3,3,5,1,No,No
153,34,Travel_Rarely,11631,1,34893,Research & Development,5,3,Medical,3,Female,Manager,Single,3,6,11,5,No,No
154,36,Travel_Frequently,9738,4,29214,Sales,11,2,Technical Degree,2,Female,Sales Executive,Married,3,6,9,2,No,No
155,36,Travel_Rarely,2835,4,11340,Research & Development,3,2,Life Sciences,1,Female,Laboratory Technician,Divorced,4,2,1,0,No,No
158,43,Travel_Frequently,16959,4,50877,Sales,26,2,Life Sciences,3,Male,Manager,Married,3,3,25,4,Yes,No
159,30,Travel_Frequently,2613,3,10452,Research & Development,23,3,Life Sciences,1,Male,Research Scientist,Divorced,4,2,10,0,No,No
160,33,Non-Travel,6146,2,18438,Sales,22,2,Marketing,3,Male,Sales Executive,Married,3,2,7,0,No,No
161,56,Travel_Rarely,4963,2,14889,Research & Development,14,4,Life Sciences,2,Female,Research Scientist,Married,3,2,5,4,Yes,Yes
162,51,Travel_Rarely,19537,3,58611,Research & Development,6,3,Life Sciences,1,Male,Research Director,Single,3,5,20,15,No,No
163,31,Travel_Rarely,6172,3,18516,Sales,6,4,Life Sciences,2,Male,Sales Executive,Married,3,3,7,7,Yes,Yes
164,26,Travel_Rarely,2368,2,7104,Research & Development,6,3,Other,3,Female,Research Scientist,Married,3,3,5,4,No,No
165,58,Travel_Rarely,10312,4,30936,Research & Development,23,4,Medical,4,Female,Healthcare Representative,Married,3,3,40,15,No,Yes
167,19,Travel_Rarely,1675,3,5025,Sales,22,1,Marketing,4,Male,Sales Representative,Single,3,2,0,0,Yes,Yes
169,22,Travel_Rarely,2523,4,7569,Research & Development,2,1,Technical Degree,3,Male,Laboratory Technician,Married,3,2,2,2,No,No
170,49,Travel_Rarely,6567,1,19701,Research & Development,20,4,Medical,3,Female,Manufacturing Director,Married,3,2,15,5,No,No
171,43,Travel_Frequently,4739,3,14217,Research & Development,28,3,Medical,2,Female,Research Scientist,Single,3,2,3,1,No,No
174,50,Travel_Frequently,9208,4,27624,Sales,12,3,Marketing,3,Female,Sales Executive,Single,3,3,2,2,No,No
175,31,Travel_Rarely,4559,3,13677,Sales,20,3,Life Sciences,2,Female,Sales Executive,Married,3,2,2,2,Yes,Yes
176,41,Travel_Rarely,8189,3,24567,Sales,9,1,Life Sciences,3,Male,Sales Executive,Divorced,3,2,9,0,Yes,No
177,26,Travel_Rarely,2942,3,11768,Human Resources,25,1,Life Sciences,3,Female,Human Resources,Married,4,3,8,5,No,No
178,36,Travel_Rarely,4941,2,19764,Research & Development,6,2,Medical,2,Male,Manufacturing Director,Divorced,4,0,3,0,No,No
179,51,Travel_Frequently,10650,4,31950,Research & Development,8,4,Life Sciences,1,Male,Manufacturing Director,Single,3,2,4,0,No,Yes
182,39,Travel_Rarely,5902,3,17706,Sales,4,4,Life Sciences,4,Female,Sales Executive,Married,3,1,15,5,No,No
183,25,Travel_Rarely,8639,3,25917,Sales,28,3,Life Sciences,1,Male,Sales Executive,Married,3,3,2,2,No,No
184,30,Travel_Rarely,6347,4,19041,Human Resources,9,3,Human Resources,3,Male,Human Resources,Married,3,2,11,4,Yes,No
190,32,Travel_Rarely,4200,1,16800,Research & Development,9,3,Medical,1,Female,Laboratory Technician,Single,4,2,5,0,No,Yes
192,45,Travel_Rarely,3452,4,10356,Research & Development,29,3,Medical,3,Male,Research Scientist,Single,3,2,6,0,No,No
193,38,Travel_Rarely,4317,3,17268,Research & Development,3,5,Technical Degree,4,Female,Research Scientist,Single,4,2,3,2,Yes,No
194,30,Travel_Rarely,2632,3,7896,Research & Development,18,3,Life Sciences,1,Female,Research Scientist,Single,3,4,5,0,No,No
195,32,Travel_Frequently,4668,4,14004,Sales,9,2,Medical,4,Male,Sales Executive,Divorced,3,2,8,0,No,No
197,30,Travel_Rarely,3204,1,9612,Research & Development,5,3,Technical Degree,4,Female,Research Scientist,Divorced,3,3,3,2,No,No
198,30,Travel_Rarely,2720,4,8160,Research & Development,2,1,Medical,2,Male,Laboratory Technician,Single,3,3,5,1,No,No
199,41,Travel_Frequently,17181,1,51543,Research & Development,10,3,Life Sciences,4,Male,Manager,Divorced,3,2,7,7,No,No
200,41,Travel_Rarely,2238,1,8952,Research & Development,9,4,Life Sciences,3,Male,Laboratory Technician,Married,4,2,5,1,No,No
201,19,Travel_Rarely,1483,2,4449,Research & Development,3,1,Medical,2,Female,Laboratory Technician,Single,3,3,1,0,No,No
202,40,Travel_Frequently,5605,2,16815,Research & Development,26,3,Medical,2,Female,Research Scientist,Divorced,3,2,20,2,No,No
204,35,Travel_Rarely,7295,2,21885,Sales,1,5,Marketing,3,Male,Sales Executive,Married,3,3,10,0,No,No
205,53,Travel_Rarely,2306,3,9224,Sales,6,2,Marketing,2,Male,Sales Representative,Married,4,3,7,4,Yes,No
206,45,Travel_Rarely,2348,2,7044,Research & Development,9,3,Life Sciences,2,Male,Laboratory Technician,Divorced,3,2,17,0,No,No
207,32,Travel_Frequently,8998,4,26994,Sales,8,3,Marketing,2,Female,Sales Executive,Single,3,2,9,3,No,No
208,29,Non-Travel,4319,3,12957,Research & Development,1,1,Technical Degree,4,Male,Manufacturing Director,Married,3,1,10,0,No,No
211,51,Travel_Rarely,6132,3,18396,Research & Development,7,4,Medical,2,Male,Manufacturing Director,Married,3,2,1,0,No,No
214,58,Travel_Rarely,3346,2,13384,Research & Development,9,3,Medical,2,Female,Research Scientist,Married,4,3,1,0,Yes,No
215,40,Travel_Rarely,10855,4,32565,Sales,4,4,Marketing,3,Male,Sales Executive,Married,3,2,12,2,No,No
216,34,Travel_Frequently,2231,3,6693,Sales,2,4,Marketing,3,Female,Sales Representative,Married,3,3,4,1,No,No
217,22,Travel_Rarely,2323,4,9292,Research & Development,19,1,Medical,3,Male,Research Scientist,Married,4,6,2,2,No,No
218,27,Non-Travel,2024,2,6072,Research & Development,9,3,Medical,4,Male,Research Scientist,Divorced,3,1,2,2,No,No
221,28,Travel_Rarely,2713,4,8139,Research & Development,21,3,Medical,3,Male,Research Scientist,Married,3,2,5,0,No,No
223,57,Travel_Rarely,9439,4,28317,Research & Development,24,2,Life Sciences,3,Male,Healthcare Representative,Divorced,3,2,5,1,Yes,No
224,27,Non-Travel,2566,3,7698,Research & Development,3,3,Medical,3,Male,Research Scientist,Divorced,3,2,1,0,Yes,No
226,50,Travel_Rarely,19926,2,59778,Research & Development,11,3,Life Sciences,3,Female,Manager,Single,3,5,5,4,No,No
227,41,Travel_Rarely,2451,3,7353,Research & Development,14,3,Life Sciences,1,Male,Research Scientist,Divorced,3,2,9,1,No,No
228,30,Travel_Rarely,9419,4,28257,Sales,5,3,Life Sciences,2,Female,Sales Executive,Married,3,2,10,7,No,No
230,38,Travel_Rarely,8686,4,34744,Sales,1,4,Life Sciences,1,Female,Sales Executive,Single,4,2,8,0,No,No
231,32,Travel_Rarely,3038,3,12152,Research & Development,6,5,Life Sciences,3,Male,Research Scientist,Single,4,2,5,1,No,No
233,27,Travel_Rarely,3058,2,9174,Research & Development,17,3,Technical Degree,3,Male,Research Scientist,Married,3,3,5,1,Yes,No
235,19,Travel_Frequently,2325,1,9300,Sales,1,1,Technical Degree,3,Female,Sales Representative,Single,4,5,0,0,No,Yes
238,36,Travel_Frequently,2088,2,6264,Research & Development,3,2,Medical,4,Male,Laboratory Technician,Single,3,3,8,7,No,No
239,30,Non-Travel,3072,1,9216,Research & Development,9,3,Medical,3,Male,Laboratory Technician,Divorced,3,4,12,6,No,No
240,45,Travel_Rarely,5006,1,15018,Sales,4,2,Life Sciences,3,Female,Sales Executive,Divorced,3,3,5,0,Yes,No
241,56,Travel_Rarely,4257,1,12771,Research & Development,8,3,Life Sciences,3,Female,Research Scientist,Divorced,3,3,2,2,Yes,No
242,33,Travel_Rarely,2500,4,7500,Research & Development,2,3,Life Sciences,3,Male,Research Scientist,Single,3,2,3,0,No,No
243,19,Travel_Rarely,1102,4,4408,Research & Development,2,3,Life Sciences,2,Male,Laboratory Technician,Single,4,3,1,1,No,Yes
244,46,Travel_Rarely,10453,1,41812,Sales,1,2,Marketing,2,Female,Sales Executive,Divorced,4,2,24,15,No,No
245,38,Travel_Rarely,2288,4,6864,Research & Development,9,2,Life Sciences,3,Female,Laboratory Technician,Single,3,3,2,2,No,No
246,31,Travel_Rarely,3929,4,15716,Research & Development,12,1,Medical,3,Female,Research Scientist,Married,4,0,4,0,Yes,No
247,34,Travel_Rarely,2311,2,6933,Research & Development,27,2,Medical,4,Female,Research Scientist,Single,3,3,3,1,No,No
248,41,Travel_Rarely,3140,2,12560,Sales,20,2,Marketing,2,Female,Sales Representative,Single,4,5,4,0,Yes,Yes
249,50,Travel_Rarely,3690,3,11070,Research & Development,1,3,Medical,3,Male,Laboratory Technician,Married,3,2,3,0,No,No
250,53,Travel_Rarely,4450,1,13350,Research & Development,13,2,Medical,4,Female,Manufacturing Director,Divorced,3,3,4,1,No,No
252,33,Travel_Rarely,2756,2,8268,Research & Development,14,3,Medical,4,Female,Research Scientist,Married,3,5,8,1,No,No
253,40,Travel_Rarely,19033,3,57099,Research & Development,4,1,Medical,4,Female,Manager,Married,3,2,20,9,No,No
254,55,Travel_Rarely,18722,2,56166,Research & Development,14,4,Medical,3,Male,Research Director,Single,3,3,24,2,No,No
256,34,Travel_Frequently,9547,3,28641,Research & Development,2,1,Life Sciences,4,Male,Manufacturing Director,Married,3,2,10,1,No,No
258,51,Travel_Rarely,13734,2,41202,Research & Development,3,3,Medical,4,Female,Healthcare Representative,Single,3,6,7,1,No,No
259,52,Travel_Rarely,19999,3,59997,Research & Development,1,4,Life Sciences,3,Male,Manager,Married,3,5,33,11,No,No
260,27,Travel_Rarely,2279,2,6837,Research & Development,9,3,Medical,4,Female,Research Scientist,Single,3,2,7,0,No,No
261,35,Travel_Rarely,5916,3,17748,Research & Development,23,2,Life Sciences,2,Male,Manufacturing Director,Married,3,1,1,0,Yes,Yes
262,43,Non-Travel,2089,4,6267,Research & Development,7,3,Medical,4,Male,Research Scientist,Divorced,3,3,5,2,No,No
264,45,Non-Travel,16792,4,67168,Research & Development,2,2,Medical,1,Male,Manager,Married,4,1,20,11,No,No
267,37,Travel_Rarely,3564,1,10692,Research & Development,21,3,Life Sciences,2,Male,Research Scientist,Married,3,3,8,1,Yes,No
269,35,Travel_Frequently,4425,2,13275,Research & Development,2,3,Medical,2,Female,Laboratory Technician,Single,3,5,6,1,No,No
270,42,Non-Travel,5265,3,15795,Research & Development,21,2,Medical,3,Female,Manufacturing Director,Divorced,3,5,5,0,No,No
271,38,Travel_Rarely,6553,3,19659,Research & Development,2,4,Life Sciences,4,Male,Manufacturing Director,Married,3,3,1,0,No,No
273,38,Travel_Rarely,6261,4,18783,Research & Development,29,3,Technical Degree,4,Male,Manufacturing Director,Married,3,3,7,1,No,No
274,27,Travel_Frequently,4298,1,12894,Research & Development,1,1,Technical Degree,3,Male,Manufacturing Director,Married,3,1,2,2,No,No
275,49,Non-Travel,6804,4,20412,Research & Development,18,4,Life Sciences,4,Male,Manufacturing Director,Divorced,3,0,7,1,Yes,No
277,34,Travel_Frequently,3815,3,11445,Research & Development,10,4,Medical,4,Male,Research Scientist,Divorced,3,4,5,2,Yes,No
281,40,Travel_Rarely,2741,4,8223,Research & Development,19,2,Medical,3,Male,Laboratory Technician,Married,3,2,7,3,Yes,No
282,38,Travel_Rarely,6673,1,20019,Research & Development,29,1,Medical,2,Male,Healthcare Representative,Married,3,2,1,0,Yes,Yes
283,29,Travel_Rarely,7639,4,30556,Sales,27,3,Marketing,2,Female,Sales Executive,Married,4,3,10,1,No,Yes
284,22,Travel_Rarely,2328,2,6984,Research & Development,5,3,Life Sciences,4,Male,Research Scientist,Divorced,3,2,4,2,Yes,No
286,36,Travel_Frequently,2153,4,6459,Research & Development,18,1,Medical,2,Female,Laboratory Technician,Single,3,2,8,1,No,No
287,40,Non-Travel,4876,4,14628,Research & Development,9,5,Life Sciences,4,Male,Healthcare Representative,Married,3,5,3,0,No,No
288,46,Travel_Rarely,9396,1,28188,Research & Development,1,4,Medical,4,Male,Healthcare Representative,Divorced,3,3,4,0,No,No
291,32,Travel_Rarely,10400,4,31200,Sales,4,4,Medical,4,Male,Sales Executive,Married,3,2,14,9,No,Yes
